11.2	237.2	0	54.241	102.263	48.022
11.2	237.2	3.11004	54.0038	104.266	50.2622
11.2	237.2	6.22008	53.1217	101.668	48.5463
11.2	237.2	9.33012	53.2326	102.346	49.1134
11.2	237.2	12.4402	53.3203	104.725	51.4047
11.2	237.2	15.5502	53.0413	102.056	49.0147
11.2	237.2	18.6602	51.7717	105.604	53.8323
11.2	237.2	21.7703	53.9753	103.95	49.9747
11.2	237.2	24.8803	52.3434	104.693	52.3496
11.2	237.2	27.9904	53.1611	106.016	52.8549
11.2	237.2	31.1004	55.8087	105.796	49.9873
11.2	237.2	34.2104	51.7327	104.056	52.3233
11.2	237.2	37.3205	53.7163	104.119	50.4027
