3.2	239.2	0	56.3088	106.81	50.5012
3.2	239.2	3.066	53.0703	100.335	47.2647
3.2	239.2	6.132	51.5944	102.093	50.4986
3.2	239.2	9.198	53.1229	99.8679	46.745
3.2	239.2	12.264	52.5917	98.7338	46.1421
3.2	239.2	15.33	50.6048	97.1507	46.5459
3.2	239.2	18.396	52.7456	99.5257	46.7801
3.2	239.2	21.462	51.8777	102.122	50.2443
3.2	239.2	24.528	55.453	103.37	47.917
3.2	239.2	27.594	54.5421	105.758	51.2159
3.2	239.2	30.66	56.2566	105.128	48.8714
3.2	239.2	33.726	55.2639	102.487	47.2231
3.2	239.2	36.792	58.2671	106.902	48.6349
3.2	239.2	39.858	53.7458	105.409	51.6632
