11.2	237.2	0	53.0578	106.246	53.1882
11.2	237.2	3.0406	55.8733	106.964	51.0907
11.2	237.2	6.0812	50.1418	104.247	54.1052
11.2	237.2	9.1218	50.3272	103.264	52.9368
11.2	237.2	12.1624	50.3005	99.6705	49.37
11.2	237.2	15.203	52.6329	104.214	51.5811
11.2	237.2	18.2436	51.1765	103.812	52.6355
11.2	237.2	21.2842	51.8366	105.923	54.0864
11.2	237.2	24.3248	52.4332	102.544	50.1108
11.2	237.2	27.3654	52.7998	104.368	51.5682
11.2	237.2	30.406	52.1727	105.358	53.1853
11.2	237.2	33.4466	50.8662	105.587	54.7208
