69800    231.27499   -10.053469    1363329.2   -4766.8282    357.10238   -5123.9306 
70800    224.51706   -9.9497898    1363329.2   -4799.1121    346.66772   -5145.7799 
71800     245.2662   0.63999863    1363329.2   -4747.0497    378.70564   -5125.7553 
72800    221.36842   -14.700305    1363329.2   -4760.9406    341.80603   -5102.7466 
73800    222.77576   -1.1809116    1363329.2   -4734.9313    343.97906   -5078.9104 
74800    227.00325   -3.3219457    1363329.2   -4691.9265    350.50655    -5042.433 
75800    215.04639    5.8697205    1363329.2   -4740.6572    332.04445   -5072.7016 
76800    216.63402   -6.4119672    1363329.2    -4708.301    334.49584   -5042.7968 
77800    219.54152    5.0773076    1363329.2   -4771.0685    338.98519   -5110.0537 
78800    229.93069    1.2702988    1363329.2   -4729.2877    355.02669   -5084.3144 
79800    224.76521   -7.9861283    1363329.2   -4719.0063    347.05088   -5066.0572 
80800    226.22489    -5.642133    1363329.2   -4744.1727    349.30471   -5093.4774 
81800    232.68103   -6.1732406    1363329.2   -4766.5882    359.27337   -5125.8616 
82800     218.4184   -12.743456    1363329.2    -4743.979    337.25102   -5081.2301 
83800     220.7946   -10.856499    1363329.2   -4740.5717    340.92002   -5081.4917 
84800     223.6463    2.7978201    1363329.2   -4711.3139    345.32322   -5056.6371 
85800    222.46475    3.5547026    1363329.2   -4721.6503    343.49883   -5065.1491 
86800     210.7946   0.66088691    1363329.2   -4774.2668    325.47943   -5099.7462 
87800    221.85554    9.1346973    1363329.2   -4752.0715    342.55817   -5094.6297 
88800    226.57419   0.15274948    1363329.2   -4735.8189    349.84406   -5085.6629 
89800    214.85717   -2.8624036    1363329.2   -4759.7407    331.75227    -5091.493 
90800    234.12474   0.33764203    1363329.2   -4716.9069    361.50255   -5078.4094 
91800    221.37995   -7.1568394    1363329.2   -4742.0578    341.82383   -5083.8817 
92800     247.1771    -11.12447    1363329.2   -4716.9159    381.65617   -5098.5721 
93800     218.3683   -3.2644173    1363329.2   -4763.3236    337.17368   -5100.4972 
94800    223.16083    9.8762919    1363329.2   -4740.1821    344.57362   -5084.7557 
95800    225.21171   -6.4002982    1363329.2   -4732.0955     347.7403   -5079.8358 
96800    224.78222   -1.4806259    1363329.2   -4723.3864    347.07714   -5070.4635 
97800    223.93377   -2.5642397    1363329.2   -4738.6341    345.76709   -5084.4012 
98800    224.64923    1.8855559    1363329.2   -4694.6674    346.87181   -5041.5392 
99800    223.78261   -3.3908723    1363329.2   -4706.1833    345.53368    -5051.717 
