0.002 232.44357 -443.67395 216156.16 -84613.3 6160.31 -90773.6 -1259.8114 235
0.004 236.15019 -488.98729 216156.16 -84592.2 6258.54 -90850.8 -1460.389 234.999
0.006 237.37442 -559.17858 216156.16 -84195.8 6290.99 -90486.8 -1737.6917 234.999
0.008 239.1794 -457.83933 216156.16 -84216.5 6338.82 -90555.3 -1295.8701 234.998
0.01 230.90546 -427.16644 216156.16 -84671.6 6119.54 -90791.2 -1178.3026 234.998
0.012 237.99013 -281.61826 216156.16 -84580.9 6307.31 -90888.2 -520.49516 234.997
0.014 233.81664 -410.99628 216156.16 -84301.5 6196.7 -90498.2 -1113.9499 234.996
0.016 236.78629 -357.00515 216156.16 -84289.3 6275.4 -90564.7 -838.85246 234.996
0.018 240.28544 -455.94252 216156.16 -84303.8 6368.14 -90671.9 -1265.6424 234.995
0.02 242.44119 -306.42456 216156.16 -84139.3 6425.27 -90564.6 -603.36802 234.995
0.022 239.55468 -374.87575 216156.16 -84387.5 6348.77 -90736.2 -920.4761 234.994
0.024 237.55883 -516.84556 216156.16 -84339.3 6295.87 -90635.1 -1543.2947 234.994
0.026 230.23852 -509.94171 216156.16 -84454.7 6101.87 -90556.6 -1482.1166 234.994
0.028 241.55782 -504.9187 216156.16 -84002.3 6401.86 -90404.2 -1456.6409 234.993
0.03 236.32944 -506.10977 216156.16 -84213.5 6263.29 -90476.8 -1541.5859 234.993
0.032 234.21018 -399.57575 216156.16 -84528.7 6207.13 -90735.8 -1055.1661 234.992
0.034 234.22002 -437.19323 216156.16 -84445.3 6207.39 -90652.7 -1185.2007 234.992
0.036 232.73336 -412.00035 216156.16 -84244.7 6167.99 -90412.7 -1090.7529 234.991
0.038 237.58185 -233.05545 216156.16 -84096.6 6296.48 -90393.1 -320.12725 234.99
0.04 233.15576 -423.19531 216156.16 -84270.3 6179.18 -90449.5 -1186.6325 234.99
0.042 243.04275 -348.4334 216156.16 -84119.7 6441.21 -90560.9 -800.31556 234.989
0.044 231.45712 -637.97894 216156.16 -84398 6134.16 -90532.2 -2043.8273 234.989
0.046 234.40203 -374.98435 216156.16 -84949.2 6212.21 -91161.4 -941.93808 234.988
0.048 237.71477 -418.10898 216156.16 -84481.7 6300.01 -90781.7 -1155.6576 234.988
0.05 235.16923 -452.54039 216156.16 -84649.4 6232.54 -90881.9 -1251.9115 234.988
0.052 235.23393 -400.12207 216156.16 -84624 6234.26 -90858.2 -1026.9697 234.987
0.054 231.33981 -297.66762 216156.16 -84660.7 6131.06 -90791.8 -617.57366 234.987
0.056 234.33286 -400.01026 216156.16 -84738.9 6210.38 -90949.3 -1044.4944 234.986
0.058 231.29343 -297.44446 216156.16 -84578.1 6129.83 -90708 -580.4235 234.986
0.06 234.21249 -343.54777 216156.16 -84790.1 6207.19 -90997.3 -772.21943 234.985
0.062 232.04931 -378.08952 216156.16 -84743.2 6149.86 -90893.1 -956.17094 234.984
0.064 233.18965 -225.42343 216156.16 -84611.9 6180.08 -90792 -260.11914 234.984
0.066 242.29856 -341.07952 216156.16 -84716.5 6421.49 -91138 -812.50642 234.983
0.068 231.24094 -284.46418 216156.16 -84785.1 6128.44 -90913.5 -562.61347 234.983
0.07 240.42133 -404.57946 216156.16 -84609.3 6371.74 -90981.1 -1049.6614 234.982
0.072 223.62617 -485.33381 216156.16 -85055.1 5926.63 -90981.7 -1397.5453 234.982
0.074 232.49212 -401.48014 216156.16 -84863.3 6161.6 -91024.9 -1038.6207 234.982
0.076 246.99205 -487.9542 216156.16 -84595.6 6545.88 -91141.4 -1448.4307 234.981
0.078 231.91052 -336.43468 216156.16 -85107.9 6146.18 -91254.1 -749.11307 234.981
0.08 239.00151 -416.12888 216156.16 -84539 6334.11 -90873.1 -1111.0539 234.98
0.082 237.36014 -234.58253 216156.16 -84485.8 6290.61 -90776.5 -311.28153 234.98
0.084 236.8259 -377.36035 216156.16 -84339.3 6276.45 -90615.7 -933.95723 234.979
0.086 234.36986 -381.9992 216156.16 -84596.3 6211.36 -90807.6 -992.33013 234.978
0.088 229.3797 -299.37003 216156.16 -84686.4 6079.11 -90765.5 -666.73042 234.978
0.09 235.40252 -319.30667 216156.16 -84539.3 6238.73 -90778 -742.95888 234.977
0.092 236.0732 -459.11462 216156.16 -84379.1 6256.5 -90635.6 -1350.5858 234.977
0.094 228.16573 -551.11121 216156.16 -84539 6046.94 -90585.9 -1699.7584 234.976
0.096 227.84383 -270.87563 216156.16 -84517.7 6038.4 -90556.1 -478.58771 234.976
0.098 233.69343 -371.46956 216156.16 -84105.1 6193.43 -90298.6 -948.96155 234.976
0.1 234.61064 -248.12315 216156.16 -84171.2 6217.74 -90389 -411.38408 234.975
0.102 242.47139 -449.67127 216156.16 -83822.6 6426.07 -90248.7 -1309.2534 234.975
0.104 236.02891 -283.83729 216156.16 -83997.1 6255.33 -90252.4 -578.8999 234.974
0.106 239.01809 -422.80557 216156.16 -84244.8 6334.55 -90579.4 -1143.1953 234.974
0.108 231.23568 -556.54956 216156.16 -84592.3 6128.3 -90720.6 -1768.3142 234.973
0.11 235.39733 -304.92993 216156.16 -84583.5 6238.59 -90822.1 -657.45165 234.972
0.112 235.07627 -255.3891 216156.16 -84520.4 6230.08 -90750.4 -414.83796 234.972
0.114 236.46765 -393.27652 216156.16 -84473.7 6266.96 -90740.7 -997.24866 234.971
0.116 239.55252 -357.57382 216156.16 -84145.4 6348.71 -90494.2 -843.98424 234.971
0.118 236.50422 -528.87751 216156.16 -84270.9 6267.93 -90538.8 -1627.656 234.97
0.12 236.37832 -465.46194 216156.16 -84193.4 6264.59 -90458 -1308.0185 234.97
