230.626	84.9245	2.2302	15.234
234.076	62.60865	25.2229	15.5125
234.326	74.01757	-6.48388	35.053703
233.226	94.8199	0.08087	35.8107
233.776	85.943175	4.0479	34.811
230.876	64.385	30.8829	35.9047		
232.426	74.223	15.433	14.306			
231.676	85.7	9.3	13.78
232.576	66.35	19.7965	35.627
232.926	71.421	12.624	35.644
232.076	74.41	1.715	15.41
234.226	68.65	27.3857	35.924
231.226	92.415	30.927	32.869
232.376	72.3	24.3347	33.319
232.826	67.998	35.0638	14.5877
231.826	64.584	-6.097	35.431			
234.426	84.055	8.099	13.7858
233.826	79.2479	3.413	15.3579
231.576	86.516	16.118	33.9145
233.226	78.1929	8.8487	14.269
234.426	96.6279	26.6034	35.1727
231.626	70.4341	23.724	14.339
231.376	82.627	11.48155	15.32624
232.826	88.729	30.523	15.79787
230.826	95.2856	22.3	33.9049
233.676	84.0156	-2.538	16.4543
